ID,Answer
0,"Yes, there is a building on the left side. It is blue or beige."
1,"Yes, there is a building on the left side. The building is  blue or beige."
2,"Yes, there is a building on the left side. It is  blue or beige."
3,"Yes, there is a building on the left side. It is blue."
4,Yes. The building is beige or blue.
5,"Yes, there is a building on the left side. It is blue or beige."
6,"Yes, there is a building on the left side. It is blue or beige."
7,No
8,"Yes, there is a building on the left side. It is blue or beige."
9,"Yes, there is a building on the left side. It is blue or beige."
10,"Yes, there is a building on the left side. It is blue or beige."
11,"Yes, there is a building on the left side. It is blue or beige."
12,"Yes, there is a building on the left side. It is blue or beige."
13,"Yes, there is a building on the left side. It is light blue."
14,"Yes, there is a building on the left side. It is blue."
15,"Yes, there is a building on the left side. It is blue."
16,No
17,No
18,"Yes, there is a building on the left side. It is light blue."
19,"Yes, there is a building on the left side. It is light blue."
20,"Yes, there is a building on the left side. It is light blue."
21,"Yes, there is a building on the left side. It is light blue."
22,"Yes, the building on the left side. It is light blue, grey, or black."
23,"Yes, the building on the left side. It is light blue, grey, or black."
24,"Yes, the building on the left side. It is light blue, grey, or black."
25,"Yes, the building on the left side. It is light blue, grey, or black."
26,"Yes, the building on the left side. It is light blue, grey, or black."
27,"Yes, the building on the left side. It is light blue or grey."
28,"Yes, there is a building on the left side. It is light blue."
29,"Yes, the building on the left side. It is light blue or grey."
30,"Yes, the building on the left side. It is light blue or grey."
31,"Yes, there is a building on the left side. It is blue."
32,"Yes, there is a building on the left side. It is blue."
33,"Yes, there are buildings on the left side. The buildings are light blue and orange."
34,"Yes, there is a building on the left side. It is light blue."
35,"Yes, there is a building on the left side. It is light blue."
36,"Yes, there is a building on the left side. It is blue."
37,"Yes, there is a building on the left side. It is grey in color."
38,"Yes, there is a building on the left side. The building is blue and black."
39,"Yes, there is a building on the left side. It is blue."
40,"Yes, there is a building on the left side. The building is blue."
41,"Yes, there is a building on the left side. It is blue and white."
42,"Yes, there is a building on the left side. It is blue and white."
43,"Yes, there is a building on the left side. It is blue and white."
44,"Yes, there is a building on the left side. It is blue and white."
45,"Yes, there is a building on the left side. It is blue."
46,"Yes, there is a building on the left side. It is blue."
47,Yes. Light blue.
48,Yes. Blue.
49,Yes. Blue.
50,Yes. They are blue or light brown.
51,Yes. They are blue or light brown.
52,Yes. They are blue or beige in color.
53,Yes. They are blue or beige in color.
54,Yes. Blue or light brown..
55,Yes. Brown.
56,Yes. Blue
57,Yes. Brown.
58,Yes. They are beige or blue in color.
59,Yes. Blue.
60,Yes. Blue.
61,"Yes, there is a blue-colored building on the left side."
62,"Yes, they are beige or light blue in color."
63,"Yes, there is a building on the left side. It is blue."
64,"Yes, there is a building on the left side. It is blue."
65,"Yes, there is a building on the left side. The building is dark blue."
66,"Yes, there is a building on the left side. Its color is blue."
67,"Yes, there is a building on the left side. It is dark blue."
68,"Yes, there is a building on the left side. It is blue."
69,"Yes, there is a building on the left side. It is blue."
70,"Yes. Some are blue,others are brown."
71,"Yes, there is a building on the left side. It is blue."
72,"Yes, there is a building on the left side, and it is blue."
73,"Yes, there are buildings on the left side. They are blue."
74,"Yes, there is a building on the left side. The building is blue."
75,"Yes, there is a building on the left side, and it is blue."
76,"Yes, there is a building on the left side. It is blue."
77,"Yes, they are brown or light blue."
78,"Yes, they are brown or light blue."
79,"Yes, there is a building on the left side, and it is blue."
80,"Yes, there is a building on the left side. It is blue."
81,"Yes, there is a building on the left side. The color of the building is blue."
82,"Yes, there is a building on the left side. It is light blue."
83,Yes. Light brown.
84,Yes. Light brown.
85,Yes. Brown.
86,"Yes, there is a building on the left side. It is brown in color."
87,"Yes, there is a building on the left side. It is blue and beige."
88,"Yes, there is a building on the left side. The building is beige in color."
89,"Yes, there is a building on the left side. Its color is beige."
90,"Yes, there is a building on the left side. It is brown in color."
91,"Yes, there is a building on the left side. The color of the building is beige."
92,"Yes, there is a building on the left side. It is beige."
93,"Yes, there is a building on the left side. It is light brown in color."
94,"Yes, there is a building on the left side. It is blue."
95,"Yes, there is a building on the left side. It is blue."
96,"Yes, there is a building on the left side. Its color is beige with blue windows."
97,Yes. The building is blue.
98,"Yes, there is a building on the left side. It is blue."
99,"Yes, there is a building on the left side. It is blue."
100,"Yes, there is a building on the left side. It is brown-colored."
101,"Yes, there is a building on the left side. The building is brown."
102,"Yes, there is a building on the left side. It is tan-colored."
103,"Yes, there is a building on the left side. It is brown."
104,"Yes, there is a building on the left side. It is blue."
105,"Yes, there is a building on the left side. It is grey."
106,"Yes, there is a building on the left side. It is blue."
107,"Yes, there is a building on the left side. It is blue and gray."
108,"Yes, there is a building on the left side. It is blue and gray."
109,"Yes, there is a building on the left side. It is blue."
